text,date,url,channel,category
"Русня ударила по Сумам КАБами: пострадали жилые дома и инфраструктура, - местные власти

Под завалами находятся люди, их деблокируют.",2026-08-27T22:14:41+00:00,https://t.me/uniannet/199630,uniannet,ground_truth
"Удивительно слушать и читать комментарии некоторых бывших украинских политиков, которые вдруг зачем-то начали записывать кидающегося на Зеленского Федорова в люди близкие к демпратии. Зачем?  Это же чистая инерция мышления. Удобная как старые разношенные тапки. Джордж Сорос, USAID, «коллектиная Вика Нуладнд», цветные революции и майданы. Привычный сонм привычных злодеев. Увы, но Америка меняется и расклад сил в ней  меняется тоже и такие беспринципные и относительно молодые люди как бывший украинский министр обороны Федоров (технократ, тесно связанный с цифровизацией, SpaceX и Palantir) прекрасно представляют за кем в США сейчас сила. За Маском, за Тилем, за Карпом, которые от демократов сейчас даже дальше, чем Дональд Трамп. Тот хотя бы официально состоял в демпартии с 2001 по 2009 год. В отличие от большинства «технобаронов- разбойников». М как матчасть.

Валентин Богданов  в МАХ и  Телеграм",2026-08-24T05:59:49+00:00,https://t.me/ponomarb1/64711,ponomarb1,pro_russian
"«Мне приятно, что мы им расфигачили порт»

Эфир на росТВ трехлетней давности. Пропагандистка радуется, что Путин отказался от зерновой сделки и стал сжигать зерно в украинских портах. 

Это для тех, кто забыл, что Россия наносила удары по украинским портам еще тогда, когда Украина не имела возможности отвечать на эти удары.

Нет, Украина не открывала никакой ящик Пандоры и не атаковала первой порты и логистические центры РФ. А лишь стала отвечать на постоянные атаки по гражданским объектам на своей территории.

@kazansky2017",2026-08-24T22:14:02+00:00,https://t.me/kazansky2017/24887,kazansky2017,normal
"‼️ВАЖЛИВО. ПРОЧИТАЙТЕ УВАЖНО ДО КІНЦЯ‼️

29.08 — День памʼяті загиблих захисників України.

Минулого року ми віддали цей день вам і тим, кого вже немає поруч. Цього року зробимо так само.

29 серпня весь день у РН — тільки про них. Без новин, мемів, реклами, розіграшу та звичайного контенту.

Почнемо о 09:00 із хвилини мовчання і до 00:00 будемо публікувати історії ваших рідних, друзів, побратимів і посестер, які загинули, захищаючи Україну.

Цього року для цього створили окремий бот. Повідомлення з нього будуть пересилатися в канал без редагування, тому, будь ласка, одразу оформлюйте все так, як хочете бачити в публікації.

Що надіслати (фото +повідомлення під ним одним смс):
— фото
— імʼя та прізвище
— дату народження та дату загибелі
— позивний
— підрозділ
— де і за яких обставин загинув/загинула
— кілька слів про людину.

І якщо залишилося щось, що ви не встигли сказати — напишіть одразу або в коментарях саме до цього посту). Щось особисте. Те, за що любили. Те, якою цю людину мають запамʼятати інші.

❗️ Важливо: бот цього дня — тільки для історій памʼяті. Не пишіть туди «коли буде мій пост?», «чи бачили ви повідомлення?» або «моє пропустили?». Ми будемо публікувати все по черзі з 09:00 до 00:00. Повідомлень може бути дуже багато, тому просто дайте нам можливість зробити свою роботу.

Посилання на бот (ВЖЕ ПРАЦЮЄ, закриється 29.08 о 22:00): @RNMemoryDayBot

29 серпня в цьому каналі не буде охоплень заради охоплень. Будуть імена. Обличчя. Історії. Бо наше сьогодні стало можливим завдяки тим, хто віддав за нього своє завтра.

29 серпня канал Розвідка Ноєм належатиме їм.

Саппорт | Мерч | Донат",2026-08-29T13:20:54+00:00,https://t.me/yigal_levin/100690,yigal_levin,normal
"""Украина никогда не участвовала ни в какой операции, которая касается подрыва ""Северного потока – 2"", – сообщил Зеленский",2026-08-23T21:34:01+00:00,https://t.me/first_political/103225,first_political,pro_russian
"Умерла 2-летняя девочка, получившая ранение на Оболони в результате падения российского БпЛА, — мэр Киева Кличко

С утра в столице пострадали 5 человек.",2026-08-29T13:26:10+00:00,https://t.me/uniannet/199782,uniannet,ground_truth
"Молдавские телеграм каналы опубликовали новость интересную. 
На праздник в Молдову едет Зеленский. 
Так вот весь его маршрут будет охраняться 40 экипажами полиции. 
Даже Трампа так не охраняли, пишут местные сми. 

Я же говорю, давайте Зеленского выдвигать на лидера ЕС. 
Я дело говорю. 
Урсула должна уйти и отдать пост Зеленскому

https://www.eurointegration.com.ua/rus/news/2026/08/25/7244128/",2026-08-27T16:36:57+00:00,https://t.me/guraanton/73640,guraanton,normal
"Прем'єр Польщі Дональд Туск заявив, що існують сигнали про серйозну підготовку росії до ескалації напруженості, «як у війні з Україною, так і в усьому регіоні». 

Він зазначив, що протягом останніх тижнів з’являються численні публічні сигнали про підготовку росії до ескалації",2026-08-29T14:51:34+00:00,https://t.me/berezajuice/67918,berezajuice,normal
"🇵🇱 Польща суттєво посилила свій бронетанковий кулак, отримавши наприкінці серпня 2026 нову велику партію з 28 південнокорейських основних бойових танків K2 Black Panther. Ці броньовані машини прибули в рамках масштабного контракту, підписаного між Польщею і Республікою Корея 1 серпня 2025 року. 

Всі танки, що знову прибули, оперативно спрямовані на посилення 16-ї механізованої дивізії, яка розгорнута на північному сході країни і безпосередньо прикриває стратегічний східний фланг НАТО біля кордонів з Калінінградською областю РФ. Існує звʼязок між цими подіями і візитом директора ЦРУ Джона Реткліффа до Москви. 

@berezoview",2026-08-27T07:53:37+00:00,https://t.me/berezoview/36899,berezoview,normal
"друзья помогите установить личность взорванного подполковника ВКС РФ 

анонимно @slavasupernovaplus",2026-08-28T09:40:09+00:00,https://t.me/supernova_plus/58985,supernova_plus,normal
"РФ ударила по строительному магазину в Павлограде, сообщает ОВА.",2026-08-28T17:29:02+00:00,https://t.me/stranaua/246418,stranaua,pro_russian
баллистика на Перещепино Днепропетровской области!,2026-08-24T21:27:38+00:00,https://t.me/vanek_nikolaev/42463,vanek_nikolaev,normal
"‼️Пошкоджений будинок, виникла пожежа через ворожу атаку на Запоріжжя.

російський безпілотник ударив по обласному центру. Пошкоджений багатоквартирний будинок. В одній з квартир спалахнула пожежа. 

Інформації про постраждалих наразі не надходило.

🔗 Сайт | Facebook | YouTube | ТikТok",2026-08-25T00:27:17+00:00,https://t.me/tch_channel/228176,tch_channel,ground_truth
"А вот и разгадка: неопознанным летающим телом, прибывшим в Москву с необъявленным визитом, оказался  директор ЦРУ Джон Рэтклифф, - CBS News

Подробности о том, с кем встречался Рэтклифф и по каким вопросам проходили встречи, не сообщаются. Нанюхан ли ""дух Анкориджа"" - тоже.",2026-08-25T17:27:59+00:00,https://t.me/uniannet/199436,uniannet,ground_truth
"Россия якобы планирует подготовить до 10 тысяч ракет «Дан-Т» для возможного применения по Украине в 2027 году, сообщают украинские милитари-паблики.

По их данным, ракета оснащается боевой частью массой около 135 кг и может иметь дальность до 500 км. По своим характеристикам «Дан-Т» сравнивают с ракетой-дроном «Бандероль», однако запуск предполагается осуществлять с наземных пусковых установок.

Официального подтверждения заявленных объемов производства пока нет.",2026-08-28T20:12:18+00:00,https://t.me/first_political/103405,first_political,pro_russian
"🇺🇸✈️ Улетевший из Москвы военно-транспортный самолет США с Рэтклиффом на борту совершил посадку в Риге.

Эти 5D-шахматы становятся все интересней.

Flightradar24 отмечает, что борт спецотряда ""Россия"" также вылетел из Внуково вслед за самолетом ВВС США.",2026-08-25T20:09:45+00:00,https://t.me/uniannet/199449,uniannet,ground_truth
"Вранці до аеропорту в москві раптово прилетів літак ВПС США: причини поки невідомі, — «FlightRadar24».",2026-08-25T12:02:21+00:00,https://t.me/smolii_ukraine/156837,smolii_ukraine,normal
"Ночью по Славянску был  масштабный авиаудар.

Пострадало много зданий, в том числе исторические.",2026-08-26T07:56:14+00:00,https://t.me/stranaua/246093,stranaua,pro_russian
